A O
polymorphic O
bipartite O
motif O
signals O
nuclear O
targeting O
of O
early O
auxin O
- O
inducible O
proteins O
related O
to O
PS B
- I
IAA4 I
from I
pea I
( I
Pisum I
sativum I
) I
. O

Finally O
, O
some O
point O
mutations O
in O
the O
Gag B
- O
Pol B
PR O
domain O
inhibited O
activation O
of O
RT B
in O
trans O
by O
a O
wild O
- O
type O
PR B
, O
suggesting O
that O
the O
correct O
conformation O
of O
the O
PR B
domain O
in O
Gag B
- O
Pol B
is O
prerequisite O
for O
activation O
of O
RT B
. O

