Mixtures O
of O
flower O
- O
shaped O
C B
( I
60 I
) I
crystals O
and O
free O
- O
standing O
C B
( I
60 I
) I
nanotubes O
are O
found O
in O
the O
0 O
. O
1 O
% O
C B
( I
12 I
) I
G I
( I
2 I
) I
/ O
butanol B
system O
. O

The O
mean O
IHN B
disappearance O
and O
NA O
appearance O
half O
- O
lives O
were O
1 O
. O
07 O
and O
3 O
. O
93 O
h O
in O
human O
plasma O
, O
and O
0 O
. O
152 O
and O
2 O
. O
68 O
h O
in O
rat O
plasma O
. O

Efflux O
transporters O
appeared O
to O
significantly O
limit O
the O
bioavailability O
of O
gemifloxacin B
in O
rats O
, O
suggesting O
their O
possible O
contribution O
to O
the O
low O
bioavailability O
of O
the O
drug O
in O
the O
human O
( O
70 O
% O
) O
. O

Here O
, O
we O
revealed O
that O
Cav1 O
or O
L O
- O
type O
calcium B
channels O
are O
the O
main O
target O
for O
Cramb816 B
. O

The O
method O
involved O
a O
macroporous O
resin O
( O
Diaion O
( O
R O
) O
HP O
- O
20 O
) O
column O
eluted O
with O
ethanol B
and O
a O
decolourisation O
step O
with O
activated O
charcoal O
. O

Comparison O
of O
toxicity O
between O
the O
different O
- O
type O
TiO B
( I
2 I
) I
nanowires O
in O
vivo O
and O
in O
vitro O
. O

l B
- I
Glutamate I
( O
30 O
mu O
M O
) O
- O
induced O
inward O
currents O
were O
recorded O
via O
the O
two O
- O
electrode O
voltage O
clamp O
method O
. O

ATP B
stimulated O
2 B
- I
NBDG I
uptake O
in O
normal O
and O
insulin O
- O
resistant O
adult O
muscle O
fibers O
, O
resembling O
the O
reported O
effect O
of O
exercise O
. O

After O
the O
exposure O
, O
cell O
viability O
using O
( O
3 B
- I
( I
4 I
, I
5 I
- I
dimethylthiazol I
- I
2 I
- I
yl I
) I
- I
2 I
, I
5 I
- I
diphenyltetrazolium I
bromide I
) O
and O
neutral B
red I
uptake O
assays O
and O
morphological O
changes O
in O
HepG2 O
cells O
were O
studied O
. O

It O
may O
relate O
to O
the O
high O
vulnerability O
to O
the O
toxicity O
of O
melamine B
in O
this O
population O
. O

Mollugin B
treatment O
also O
significantly O
increased O
intracellular O
accumulation O
of O
the O
fluorescently O
- O
tagged O
P O
- O
gp O
substrate O
, O
rhodamine B
- I
123 I
. O

Herein O
we O
report O
the O
surfactant O
- O
triggered O
assembly O
of O
fullerene B
( O
C B
( I
60 I
) I
) O
into O
3D O
flowerlike O
microcrystals O
at O
the O
liquid O
- O
liquid O
interface O
. O

