If O
this O
were O
so O
, O
patients O
with O
coronary B
artery I
disease I
might O
be O
especially O
susceptible O
. O

Nature O
, O
time O
course O
and O
dose O
dependence O
of O
zidovudine O
- O
related O
side O
effects O
: O
results O
from O
the O
Multicenter O
Canadian O
Azidothymidine O
Trial O
. O

The O
tests O
included O
open O
- O
field O
exploratory O
behaviour O
, O
elevated O
plus O
maze O
and O
elevated O
zero O
maze O
, O
social O
interaction O
and O
novelty O
- O
suppressed O
feeding O
latency O
behaviour O
. O

The O
abnormal O
behaviors O
were O
yawning O
, O
retrocollis O
, O
hyperactivity B
, O
hypersensitivity B
, O
" O
beating O
drum O
" O
behavior O
, O
squealing O
, O
head O
bobbing O
, O
circling O
, O
sniffing O
, O
abnormal O
posturing O
, O
and O
facial O
twitching O
. O

A O
prospective O
evaluation O
of O
the O
efficacy O
and O
safety O
of O
vancomycin O
was O
conducted O
in O
54 O
consecutive O
patients O
over O
a O
16 O
- O
month O
period O
. O

Dynamic O
response O
of O
blood O
vessel O
in O
acute B
renal I
failure I
. O

To O
examine O
a O
possibly O
deteriorating O
cardiotoxic B
effect O
of O
SM O
- O
5887 O
, O
low O
- O
grade O
cardiomyopathy B
was O
induced O
in O
dogs O
by O
four O
courses O
of O
doxorubicin O
( O
1 O
. O
5 O
mg O
/ O
kg O
) O
. O

This O
was O
associated O
with O
elevated O
renal O
mPGES O
- O
1 O
protein O
expression O
and O
increased O
urine O
PGE O
( O
2 O
) O
excretion O
. O

Anti O
- O
carcinogenic B
action O
of O
phenobarbital O
given O
simultaneously O
with O
diethylnitrosamine O
in O
the O
rat O
. O

Second O
- O
and O
third O
- O
generation O
cephalosporins O
, O
especially O
cefotetan O
, O
are O
increasingly O
associated O
with O
severe O
, O
sometimes O
fatal O
immune O
hemolytic B
anemia I
. O

Histopathological O
examination O
revealed O
severe O
renal B
damage I
such O
as O
proteinaceous O
casts O
in O
tubuli O
and O
tubular O
expansion O
in O
the O
kidney O
of O
control O
rats O
, O
while O
an O
improvement O
of O
the O
damage O
was O
seen O
in O
antithrombin O
- O
treated O
rats O
. O

Conversion O
was O
early O
in O
29 O
patients O
( O
41 O
. O
4 O
% O
) O
and O
late O
in O
41 O
( O
58 O
. O
6 O
% O
) O
. O

Cyclophilin O
A O
and O
FK506 O
- O
binding O
protein O
, O
the O
main O
intracytoplasmic O
receptors O
for O
CsA O
and O
FK506 O
, O
respectively O
, O
were O
each O
detected O
in O
renal O
tissue O
extract O
. O

Hepatitis B
B I
vaccine O
birth O
dose O
was O
administered O
to O
76 O
. O
2 O
% O
of O
all O
infants O
. O

To O
examine O
the O
relationship O
between O
quantitative O
stimulant O
drug O
levels O
, O
catecholamines O
, O
and O
psychotic B
symptoms I
, O
nineteen O
patients O
in O
a O
psychiatric B
emergency O
service O
with O
a O
diagnosis O
of O
amphetamine O
